ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
362,B9360,Large Projects Fund,1992,'New' Madison Park Playground,Madison Park Community Council,"The ""Patrons of 'New' Madison Park Playground"" enhanced the Madison Park Playground with the addition of new play equipment which ensures safe, enjoyable use by children of all ages, including the disabled.",20000,47654,,East
364,B9362,Large Projects Fund,1992,Green Lake Elem Sch Playground Improveme,Green Lake Elementary PTSA,"The community planned, designed and installed an innovative playscape with major landscape improvements to an adjoining embankment. Two problems were solved:  1) replacement of an unsafe playscape; and 2) making safe an eroding and unsafe embankment that adjoins the play area.",59572,94363,,Northwest
373,B9371,Large Projects Fund,1992,Grassroots Technology Project,Powerful Schools,This project will result in improved literacy for the entire family by making computer technology available to those traditionally left out of technological advances.   ,31300,35210,,Southeast
378,B9376,Large Projects Fund,1992,Dolores Bradley/Judkins Park Water Feat.,Judkins Rejected Community Council,Constructed a unique water spray feature in Judkins Park.,42175,42200,,Central
365,B9363,Large Projects Fund,1992,ID Oral History Project & Exhibit,Wing Luke Asian Museum,"The project will conduct interviews with 30 longtime International District residents and business people, gather photos and artifacts and build a permanent historical exhibit of the neighborhood.   ",38450,63250,,Downtown
1476,S92079,Small and Simple Projects Fund,1992,Urban Angling & Environ Ed Program,Rotary Boys & Girls Club,"Inner-city young people will be introduced to angling as a life long activity and will increase their awareness of the environment through stream rehabilitation, proper waste disposal, and raising and releasing hatchery fish.  Youngsters will also participate in producing a video on stream management and enhancement.",2100,5030,,Central
1611,S93183,Small and Simple Projects Fund,1993,Drought Tolerant Landscape Project - II,Denny Middle School PTSA,Second phase of a low water use landscape project.  Installation of new drought tolerant plantings and signage.,4609,5575,,Delridge
1612,S93184,Small and Simple Projects Fund,1993,Traffic Circle,Work Authorization to Seattle Engineering Department,"To improve safety, the neighborhood group will  build, landscape and maintain a traffic circle at the intersection of NE 68th and 30th Ave NE",2640,2910,,Northeast
394,B9402,Large Projects Fund,1993,Filipino Youth & Family Needs Assessment,Filipino Youth Activities,A needs assessment project to be conducted cooperatively amongst seven Filipino community agencies and managed by the FYA to compose a comprehensive study which will identify those issues and concerns which are unique to the Filipino community utilizing the south/southeast area neighborhood as a main focal point.,39369,25611,,Central
395,B9403,Large Projects Fund,1993,Roxhill Park Project,Neighborhood House,"Construction of a large, and imaginative playground structure for children of all ages.",67500,132693,,Delridge
1592,S93164,Small and Simple Projects Fund,1993,Samoan Youth All-Day Conference,Seattle Samoan Center,An all day community education conference for 100 Samoan youth was organized so that young people could learn from their elders about Samoan folklore and culture.  The event was also aimed at the prevention of drug use and gang recruitment by promoting cultural pride and self-esteem.,2588,3605,,Southeast
1593,S93165,Small and Simple Projects Fund,1993,Historic Rainier Valley Revisited,Rainier Valley Historical Society,"The Society will copy and archive historic photos of Rainier Valley, make oral histories of individuals, and package the materials for a display at public places.",4993,12491,,Southeast
1594,S93166,Small and Simple Projects Fund,1993,Window Art/Murals in Bus Shelters,South East Effective Development,SESAC and the Rainier Valley Historical Society will work to create three murals with historical themes and two others which will be abstract works.  Murals will be installed at bus shelters in the Rainier Valley.,5000,6130,,Southeast
1597,S93169,Small and Simple Projects Fund,1993,Wolf Creek Ravine P-Patch,Human Services Department,Initial site improvements will be made so that a community garden can be created at 3rd N and N Lynn.,5000,11255,,Magnolia/QA
1610,S93182,Small and Simple Projects Fund,1993,Safe Street,Ane'm V. Fairfield,A traffic circle will be installed at Pullman Ave NE and Ann Arbor Street,4100,4100,,Northeast
1599,S93171,Small and Simple Projects Fund,1993,Salmon Bay Park Children's Play Equipment,Boy's and Girl's Clubs of King County,Seven new pieces of play equipment will be added to the Salmon Bay Park play area.  The equipment will be geared for children who are 5 years old and younger.,5000,5941,,Ballard
1609,S93181,Small and Simple Projects Fund,1993,New Info Station and Wt Rm Relocation,Loyal Heights Advisory Council,The center's existing information counter and weight room will be renovated to accomodate the increase in neighborhood use of the facility.  The new configuration will result in a more user friendly visitor counter (and will meet ADA requirements) and improve visibility by staff into the weight room area;  the weight room will be redesigned to make better use of the space.,5000,7500,,Ballard
1602,S93174,Small and Simple Projects Fund,1993,Greater Harbor 2000 Draft Concept Plan,Greater Harbor 2000,A final draft concept plan for the greater Harbor Avenue Corridor was prepared and circulated throughout West Seattle for comment.,5000,7640,,Delridge
1603,S93175,Small and Simple Projects Fund,1993,Fuhrman/Boyer Street Improvement,Portage Bay/Roanoke Park Community Council,Designed street improvements for Fuhrman and Boyer Avenue that gives priority to bicycles and pedestrians,4500,7501,,Northeast
1604,S93176,Small and Simple Projects Fund,1993,NE 94 & 12 NE; NE 95 & 12 NE Traffic Circle,N/A,Traffic circles will be built at two locations in the Maple Leaf neighborhood.  This is a unique project in that the Engineering Department is allowing the neighborhood group to design its traffic circles.,4100,4100,,North
1605,S93177,Small and Simple Projects Fund,1993,P. S. I Love You,Pioneer Square Community Council,"This project is intended to raise funds to sponsor a room at the Union Hotel and to promote the neighborhood.  The organization will hold a number of Holiday Events/Activities (gift wrapping, miniature tree decorating contest, etc.) to raise funds.  SAS funds will be used to promote the Events/Activities and to purchase the items/materials needed for the Events.",3276,5939,,Downtown
398,B9406,Large Projects Fund,1993,Environmental Endeavors Phase I,Montlake Elementary PTSA,"Environmental Endeavors Phase I is a plan which reorganizes (relandscapes) the Montlake Elementary School site to provide appropriate areas for an environmental sciences curriculum and educational materials for the faculty.  It also will provide an educational ""hands on"" space to educate the neighborhood at large on recycling, water wastes and general environmental care.",49450,84730,,Northeast
427,B9435,Large Projects Fund,1993,Jr & Sr High Alternative Program,Boy's and Girl's Clubs of King County,Provide an adult supervised facility every Friday and Saturday nights for youth of middle school and high school age.  The existing Boys & Girls Club facility would be open from 8 pm until 12 midnight for kids in this age group.  The aim of this program is to assist kids at risk from gang and related drug influences.,18108,24520,,Northwest
396,B9404,Large Projects Fund,1993,Concord Clearing,Friends of Concord Clearing,"Creation of a low-maintenance natural area for the enjoyment of neighborhood residents and nearby child care facilities, and to provide Concord Elementary School with a laboratory for learning about the natural world.",10965,14251,,Greater Duwamish
420,B9428,Large Projects Fund,1993,Developing Youth Leadership,Parents for Student Success,"Assisted by professional adults, 51 ""high risk"" youth, 12-16 years, of various ethnicities and residing in Southeast Seattle will be trained in computer technology using multi-media tools and in leadership skill development.",45052,45152,,Greater Duwamish
422,B9430,Large Projects Fund,1993,Dunlap Playground Construction,Dunlap Elementary PTSA,Removal of old equipment and replacement with a new playscape which provides a wide variety of multi-skill level activities.  The refinishing and replacement of old equipment in courts (basketball & tetherball) adds to the variety of activities offered.,22212,22748,,Southeast
424,B9432,Large Projects Fund,1993,ACORN Homeowners' Insurance Survey/Study,Washington ACORN,"This project will aim to compile a comprehensive study on homeowners' insurance in the Rainier Valley.  ACORN will gather specific information on the insurance policies of area residents to determine the nature of insurance redlining and put in place community initiated solutions to the problem.  Community members will be the key movers behind this project, but ACORN will actively involve others, such as the Insurance Commissioners' Office to ensure that the study will be well documented and real solutions come of the community's work.",6000,12473,,Southeast
426,B9434,Large Projects Fund,1993,Playground '94,Graham Hill Elementary PTSA,"Replaced old unsafe, deteriorating playground structure.  Project included  design, selection, equipment installation and other necessary elements based on community input.  The retaining wall around the play area is lined with bronze tiles designed by Graham Hill students.",37609,46907,,Southeast
449,B9457,Large Projects Fund,1993,Re-Tree Ballard '93/'94,Central Ballard Community Council,"Planted 1,080 one-inch calliper, bare root street trees to improve the visual and environmental quality of the Ballard neighborhood.",39242,76150,,Ballard
447,B9455,Large Projects Fund,1993,Campus Parkway Mural Restoration,Greater University Chamber of  Commerce,Project restored the damaged portions of this piece of public art using an appropriate paint system for this environment to ensure a long life and provide a potential solution to the problem of mural deterioration city wide.,16032,23990,,Northeast
429,B9437,Large Projects Fund,1993,The Living Classroom,Fremont Chamber of Commerce,Brought in resources from the surrounding business community to augment the activities of the school.,35000,67437,,Lake Union
444,B9452,Large Projects Fund,1993,Ball Fields & Track at Whitman School,Whitman Middle School PTSA,Install a quarter mile cinder track with two Little League ball fields and one soccer field.,60900,147737,,Ballard
443,B9451,Large Projects Fund,1993,Upper View Ridge Play Field,Laurelhurst/View Ridge/Ravenna Soccer Club,Installation of a full 50 x 100 yard soccer field on upper View Ridge that runs east and west and T-ball fields.  Add dirt and regrade with crown from less than 1% slope to 3%.,42958,43004,,Northeast
425,B9433,Large Projects Fund,1993,Cleveland Community Arts Foundry,South East Effective Development,South East Seattle Arts Committee and Cleveland High School will work together to renovate the existing foundry at Cleveland and operate a community metal arts foundry for students and local artists.,40304,74582,,Greater Duwamish
409,B9417,Large Projects Fund,1993,Comprehensive Neighborhood Planning Project,Ravenna-Bryant Community Association,"Conduct a community needs assessment and report for Roosevelt Neighborhood Association, Ravenna-Bryant Community Association, Roosevelt Neighbors Alliance and University District Community Council.",12400,27250,,Northeast
1606,S93178,Small and Simple Projects Fund,1993,Baker Property Master Plan,Whittier Heights Community Council,Conduct a community design effort in developing a Baker property park plan.,5000,6140,,Ballard
399,B9407,Large Projects Fund,1993,Laurelhurst Ele. Play Strctre Replacemt,Bruce Johnson & Associate,This project will replace the existing play structure and provide for structures for older students.  The existing play structure has reached the end of its life span.,30590,34520,,Northeast
400,B9408,Large Projects Fund,1993,Madrona Beach Playground,Leschi Improvement Council,"The Madrona Community Council sponsored the plan devised by neighboring residents which included installation of a natural  play area with play elements made of drift wood and boulders.  The beach-like play area is just north of the Madrona Beach House, on Lake Washington Blvd.  The dry stream bed includes children-designed art tiles as its base.",49556,62098,,Central
401,B9409,Large Projects Fund,1993,Eastlake Gateway Park & Sculpture,Eastlake Community Council,"Commissioned ""gateway"" art sculpture, ""Shear Draft"", selected with broad community input.",43419,264289,,Lake Union
403,B9411,Large Projects Fund,1993,10th Ave E & Garfield Sts Improvement,Friends of 10th Ave E,"Installed street trees and ground cover, organized parking and enhanced entrance to Garfield Street.",28142,28900,,East
419,B9427,Large Projects Fund,1993,African American Heritage Museum,African American Heritage Museum Board,"This project will be the first phase of the overall renovation and remodel of the Old Colman School into a regional African American Heritage Museum.  Phase One will provide badly needed maintenance to halt the physical deterioration caused by neglect, water, and vandalism.",62000,62650,,Central
407,B9415,Large Projects Fund,1993,Lincoln Park Play Equipment,Friends of Lincoln Park Annex,"Installed play equipment to create a new play area near the center of  Lincoln Park,",46250,44244,,Southwest
411,B9419,Large Projects Fund,1993,Khmer Youth Project,Volunteers of America,"The Khmer Youth Project is an inter generational project in which Cambodian youth will work with their parents, young adults, and elders to provide substance abuse prevention and recreational activities to prevent involvement in gangs and to enhance cultural understanding among the wider community.",27972,30700,,Greater Duwamish
412,B9420,Large Projects Fund,1993,Youth Entrepreneur Training Program,Black Dollar Days Task Force," An extracurricular program with inner-city high school students teaching business skills and development, resulting in the operation of new business run by the students.",48796,58544,,Central
414,B9422,Large Projects Fund,1993,Colman - A Caring Community,Colman PTSA,This project establishes a continuing inter generational program making seniors active partners in educating children and fostering a sense of pride in and service to community.,22500,29442,,Central
415,B9423,Large Projects Fund,1993,Brighton Community Playscape,Brighton Elementary PTSA,Installation of a new  playscape at Brighton Elementary School and improvements to the grounds as well.,23000,25406,,Southeast
416,B9424,Large Projects Fund,1993,Fremont Time,Phinney Neighborhood Association,"Design and implement a ""currency"" system that mobilizes volunteers to meet human needs, build community, and enhance the non-cash economy.",46750,95400,,Lake Union
405,B9413,Large Projects Fund,1993,Harrison Ridge Greenbelt Restoration,Greater Madison Valley Community Council,"Project re-established native plants in greenbelt, by removing areas of ivy and other invasive non-native species, and re-planting indigenous conifers and shrubs.  Small and Simple project S93179 in amount of $1,380 is also included which involves design to greenbelt restoration.",12085,13470,,Central
1572,S93144,Small and Simple Projects Fund,1993,Art Bridges,African American Heritage Museum & Cultural Center,"Involving at-risk youth, this project will result in the design and installation of attractive murals on the north, south, and west sides of the old Colman School, proposed site for the African American Heritage Museum.",3000,0,,Central
1590,S93162,Small and Simple Projects Fund,1993,McGilvra School Playground-Phase II,McGilvra Elementary PTSA,An old wooden play structure will be removed and replaced with a structure appropriate for students in the primary grades.,2750,2954,,East
1564,S93136,Small and Simple Projects Fund,1993,Jackson Place Tree Planting Project,Jackson Place Community Council,The Community Council will plant 30 trees in the Jackson Place neighborhood.,765,0,,Central
1608,S93180,Small and Simple Projects Fund,1993,LCC's Economic Development Project,Lao Communities' Center,"This mutual assistance group serves Laotion refugees.  Initially the organization provided only emergency assistance (food, shelter, etc.) and social services.  This Small and Simple award allowed the group to also organize an economic development cooperative.",5000,8000,,Southeast
1536,S93108,Small and Simple Projects Fund,1993,Immunization Advertising Campaign,Puget Sound Health Center,Completed a four month campaign to educate families about the importance of immunizing children under two years old.,5000,0,,Southeast
1569,S93141,Small and Simple Projects Fund,1993,Rainier Valley Heritage Festival Tours,Rainier Chamber of Commerce,"High School students researched, wrote and produced three, forty minute motor tours of South Seattle to be conducted during the Rainier Valley Heritage Festival.  The tours featured homes, history and horticulture.",4800,6717,,Southeast
1570,S93142,Small and Simple Projects Fund,1993,Pratt Park Jazz Festival,Black Dollar Days Task Force,"A Jazz Festival in Pratt Park was organized to promote community unity and highlight community businesses, especially restaurants.",4986,0,,Central
1553,S93125,Small and Simple Projects Fund,1993,Summer Youth Basketball Program,Harrison/Denny Community Council,A summer basketball program was operated for neighborhood youth by adult volunteers from the neighborhood.,3465,3714,,Central
1550,S93122,Small and Simple Projects Fund,1993,Needs Assessment-Korean Long Term Care,Korean ComTask Force,Conducted a needs assessment  to determine the long-term care needs of Korean-American elderly in the ID-Chinatown district and the downtown.,5000,9390,,Downtown
1555,S93127,Small and Simple Projects Fund,1993,Entry Way Community Sign,Ocean View Community Beach Club,Designed and constructed a neighborhood welcome sign.,715,731,,Southwest
1543,S93115,Small and Simple Projects Fund,1993,Holly Park P-Patch Development,Unknown,Relocated the Holly Park P-Patch..,1785,2000,,Greater Duwamish
1576,S93148,Small and Simple Projects Fund,1993,Accessible Restroom and Lounge Project,University Heights Center for the Community Association,The existing restroom was made handicapped accessible and an existing lounge was refinished.,2700,3290,,Northeast
1549,S93121,Small and Simple Projects Fund,1993,Model Community Assisted Housing  Proj-1,Laurelhurst Community Club,The award allowed the Community Club to study the feasibility of developing a community land trust to acquire property in Laurelhurst for the construction of single family housing for purchase by low-to-moderate income families.,5000,6600,,Northeast
1547,S93119,Small and Simple Projects Fund,1993,Concord Clearing,South Park Area Redevelopment Committee,Design work and site clean-up for Concord Clearing acquired through the City's Open Space program.,927,1300,,Greater Duwamish
1545,S93117,Small and Simple Projects Fund,1993,Wing Luke Playground - Stage 2,Wing Luke Elementary PTSA,The PTSA and nearby neighborhood residents will plan and install new playground equipment at the Wing Luke Elementary School.,5000,6914,,Greater Duwamish
1539,S93111,Small and Simple Projects Fund,1993,String of Pearls Temporary Installation,Eastlake Arts Commission,"The Eastlake community will participate in siting, fabricating, installing, and celebrating a temporary art installation along the proposed String of Pearls walking path on Fairview E.  The walking path will link street-end parks in Eastlake.",5000,6450,,Lake Union
1582,S93154,Small and Simple Projects Fund,1993,Neighborhood Signs,Leschi Improvement Council,"Neighborhood ""welome"" signs were  designed, fabricated and installed at eight entrances to the Leschi neighborhood.",550,550,,Central
1554,S93126,Small and Simple Projects Fund,1993,Eastlake Town Center Project,Eastlake Community Council,"Six banners, commemorating Eastlake's Centennial, will be designed and constructed for placement along Eastlake Avenue.",1858,1385,,Lake Union
1519,S93091,Small and Simple Projects Fund,1993,Highland Park Community Mural,Highland Park PTSA and Action Committee,"With the help of a professional artist, the 400 children of the school, along with other neighborhood children, designed and created a mural on a 150 foot long concrete wall bordering the school's grounds.",2938,5325,,Delridge
1522,S93094,Small and Simple Projects Fund,1993,Arboretum Aqueduct Light Restoration,Montlake Community Club,All light standards on the Arboretum Aqueduct Footbridge will be restored or replaced with replicas of the originals.,3000,3000,,Northeast
1523,S93095,Small and Simple Projects Fund,1993,CNA Street Trees,Central Neighborhood Association,30 street trees will be planted in parking strips throughout the residential areas of this Central Area neighborhood.,1636,1636,,Central
1584,S93156,Small and Simple Projects Fund,1993,Community Reader Board,Magnolia Chamber of Commerce,Installation of an outdoor bulletin board  at Magnolia Village so that community members and organizations can post announcements about meetings and events.,135,205,,Magnolia/QA
1586,S93158,Small and Simple Projects Fund,1993,UNITY Bus Shelter and Murals,High Point YMCA Teen Council,Young people from the High Point community will design and paint a mural that will be installed in a nearby METRO bus shelter.,796,3458,,Delridge
1588,S93160,Small and Simple Projects Fund,1993,Mural Illumination and Safety Project,1st/2nd Ave Neighborhood BIA,A wall mural will be illuminated to enhance it as a neighborhood landmark and to provide additonal safety for residents and visitors who use the nearby public parking lot.,2118,2118,,Downtown
1589,S93161,Small and Simple Projects Fund,1993,Hiawatha Playfield Tree Planting,Hiawatha Community Center Advisory Council,"15 trees were planted on the playfield, along with ground cover on a bank that was eroding.",714,1232,,Southwest
1580,S93152,Small and Simple Projects Fund,1993,Hazardous Waste Project,Environmental Coalition of South Seattle,Small and medium sized South Park businesses were organized into an environmental cooperative to promote proper hazardous waste disposal and  management.,5000,5909,,Greater Duwamish
1531,S93103,Small and Simple Projects Fund,1993,Visualize Old Ballard,Ballard Historical Society,"Historic photographs, maps, and other documents will be located, copied and archived to create a public exhibit of old Ballard.  The exhibit was displayed at the Nordic Heritage Museum, the library and other public facilities.",4975,10457,,Ballard
1551,S93123,Small and Simple Projects Fund,1993,Community Center Reader Board,Southwest Community Center Advisory Council,"A permanent reader board, to announce upcoming events, will be placed in front of the SW Community Center.",2233,2335,,Delridge
1552,S93124,Small and Simple Projects Fund,1993,Volleyball Standards at Community Center,Green Lake Community Center Advisory Council,"Installed a volleyball, badminton and pickleball net system.",3639,3639,,Northwest
1535,S93107,Small and Simple Projects Fund,1993, UNITY Playground Project at High Point,United Way of King County,Installed a new playground and playground equipment .,5000,48924,,Delridge
1534,S93106,Small and Simple Projects Fund,1993,Redevelopment of Playfield for Baseball,N.W. Little League,"Renovated the  ballfield at Crown Hill Elementary school, a closed school.",5000,7904,,Ballard
1533,S93105,Small and Simple Projects Fund,1993,Needs Assessment Study of Sand Point,View Ridge Community Club,"The community conducted a ""needs assessment"" to determine the priorities, preferences, and needs of the View Ridge community for park, recreation, open space, cultural arts, education, and community activity for the proposed Sand Point park site.",4828,5850,,Northeast
1530,S93102,Small and Simple Projects Fund,1993,Courtyard Installation,Blaine Elementary PTSA,Installed an intensive garden and outdoor classroom which will be utilized by the school's students and residents through the Magnolia Community School.,4988,7683,,Magnolia/QA
1528,S93100,Small and Simple Projects Fund,1993,Webster Playground Planning,Webster Neighborhood Group,"Conduct a public design effort and design a play area and park on a portion of the site of the former Webster Elementary school, currently home to the Nordic Heritage Museum.",5000,3790,,Ballard
1526,S93098,Small and Simple Projects Fund,1993,Lao Highland Community Action Plan,Lao Highland Association of King County,"The project award supported the efforts of the Lao Highland Association, an organization of four Laotion mutual assistance associations, to develop a community action plan that  address the mutual problems and issues of their respective communities.",3000,5400,,Downtown
1525,S93097,Small and Simple Projects Fund,1993,University District Farmer's Market,University Chamber of Commerce,"A Farmer's Market, scheduled to operate on Saturday's throughout the summer, will be started in the University District.  If successful, the Chamber hopes to expand and operate the Market every summer.",2935,4770,,Northeast
1524,S93096,Small and Simple Projects Fund,1993,NE 41st Boulevard Project - Phase V,Laurelhurst Community Club,The Community Club  landscaped and planted Holly Oak street trees in the median of NE 41st Boulevard.,3000,4276,,Northeast
459,B9508,Large Projects Fund,1994,"Alki Playground Expansion Project, II",Alki Elementary PTSA,This project replaces a recently removed wooden play structure at the playground and completes a two phase playground project started in 1991.  Project adds additional play equipment and makes more of the playscape accessible.,30000,32544,,Southwest
1733,S94114,Small and Simple Projects Fund,1994,Phinney/Greenwood Street Tree Project,Phinney Neighborhood Association,Approximately 200 street trees were planted in residential areas of the Phinney and Greenwood neighborhoods to improve the visual and environmental quality of the neighborhood.,5000,7950,,Northwest
1715,S94096,Small and Simple Projects Fund,1994,Courtyard Garden,Seattle Youth Involvement Network,"Teens, who have developed a public courtyard in Highpoint, will work as mentors with younger children to design and install works of art in the courtyard.",5000,8200,,Delridge
1026,OD94008,Outreach,1994,Membership Recruitment,Capitol Hill Community Council,The Capitol Hill Community Council completed a membership expansion campaign in the last quarter of 1994 and first quarter of 1995.  The goal was to increase the number of Council members by 50 to 100.,500,0,,East
522,B9549,Large Projects Fund,1994,Neighborhood History and Heritage Center,Fremont Chamber of Commerce,"Designed and programmed a Neighborhood History and Heritage Center to preserve the past, present and future.  The History House feasibility study was completed by SPU's Center for Entrepreneurship.",24964,33850,,Lake Union
1741,S94122,Small and Simple Projects Fund,1994,"Baker Property Development, Phase I",Whittier Heights Community Council,Prepared construction documents for park improvements that were identified during the planning stage of this project.,5000,7679,,Ballard
1740,S94121,Small and Simple Projects Fund,1994,Jackson St. Murals and Flowerboxes,Central Area Development Association,"A public art project on Jackson street included the installation of a mural on the west side of Welch's Hardware at 23rd and Jackson, and the construction and installation of flowerboxes at several locations on the sidewalk along Jackson Street between 18th Avenue South and MLK, Jr Way S.",2451,4724,,Central
472,B9511,Large Projects Fund,1994,Pratt Park and Yesler Way Improvements,Pratt Fine Arts Center,"Local African-American artists will construct water-play art elements.  Neighborhood organization will sponsor self-help projects:  trash can painting, street planters, banners and murals.",49500,61161,,Central
1739,S94120,Small and Simple Projects Fund,1994,Capitol Hill Tourism Brochure,Capitol Hill Chamber of Commerce,"Developed, produced, and distributed 10,000 brochures for the purpose of promoting the Capitol Hill neighborhood as a tourist attraction.  The brochure will highlight neighborhood ""attractions"", as well as businesses and restaurants that should be visited.",4850,5040,,East
1738,S94119,Small and Simple Projects Fund,1994,ML King School Marketing Campaign,Greater Madison Valley Community Council,Promoted the school through a publicity and marketing campaign in the neighborhood so that its student population is increased.,4960,5783,,Central
1737,S94118,Small and Simple Projects Fund,1994,Mosaic Pathway at Stevens School,Stevens Elementary PTSA,"Created and installed a mosaic and tile pathway beside the main entrance to the school grounds, connected to the playground and a sanctuary garden.  A parent and artist worked with the students of the school to create the pathway.",5000,7615,,East
1726,S94107,Small and Simple Projects Fund,1994,Holly Park Community Mural,South East Seattle Arts Council,Created and installed an exterior mural on a building in the Holly Park business district completed by professional artist and six high school  students.,5000,6614,,Greater Duwamish
1734,S94115,Small and Simple Projects Fund,1994,Rainier Rose Pilot Project,Rainier Chamber of Commerce,"Three public spaces (right-of-ways) were  beautified by the planting of a new breed of roses, Rugosa,  that are low growing, and drought and pollution tolerant.",5000,5000,,Southeast
1731,S94112,Small and Simple Projects Fund,1994,Boren Field Bleachers,West Seattle Youth Baseball,"Installed bleachers  at Boren Field, a site used for youth baseball when not used for high school games and practices.",1000,843,,Delridge
1729,S94110,Small and Simple Projects Fund,1994,Visual Preference Survey,Queen Anne Community Council,"The project surveyed and documented the communities ""visual preferences"" for buildings and streets in the zoning categories that will be affected by the neighborhood planning process that began in 1995.",4940,10346,,Magnolia/QA
1727,S94108,Small and Simple Projects Fund,1994,Fremont Ave Community Tile Project,B.F. Day Elementary PTSA,Installed ceramic tile sign on a retaining wall near an entrance to the school grounds.  The PTA and Fremont Arts Council involved students and community members in creating the tiles.,5000,5100,,Lake Union
1725,S94106,Small and Simple Projects Fund,1994,Early Rainier Valley Images,Rainier Valley Historical Society,"An ""Images of the Past"" slide show will be developed and presented in schools, to organizations, and will become part of a permanent display in the proposed Cultural Center.",1381,5330,,Southeast
1723,S94104,Small and Simple Projects Fund,1994,West Seattle Junction Painting the Town,ArtsWest,Painted three bus shelters in the Alaska Street Junction area.,4000,6237,,Southwest
1722,S94103,Small and Simple Projects Fund,1994,The Grassy Hill Environmental Project,Wedgwood Elementary PTSA,"A weed infested and muddy section of the school's playground was  transformed into an inviting outdoor space that can be used for quiet play or recreation.  An exercice area, accessible to disabled children, was also created.",4598,6229,,Northeast
452,B9501,Large Projects Fund,1994,Greenwood School Playground Project,Greenwood Elementary School PTSA,"Installed a new play structure, graphic art, landscaping and benches.",32000,42005,,Northwest
1712,S94093,Small and Simple Projects Fund,1994,Neighborhood Vision Map,Cascade Neighborhood Council,Through a series of workshops the Cascade Neighborhood Council will develop a vision map for Cascade neighborhood's future.,4060,6196,,Lake Union
1703,S94084,Small and Simple Projects Fund,1994,Project Neighborhood Safeguard,Block Watch - 47th Ave SW,A traffic circle will be installed at the intersection of 47th Ave SW and SW Brace Pt Drive.,3775,4507,,Southwest
1705,S94086,Small and Simple Projects Fund,1994,Outdoor Illuminated Readerboard,Viewlands Elementary Site Council,"An outdoor, double-sided, illuminated readerboard to announce school and community events will be installed at Viewlands Elementary School.",4750,4980,,Northwest
1706,S94087,Small and Simple Projects Fund,1994,Blot Out Blight,Downtown Seattle Association,The applicant proposes to paint over a grafitti defaced exterior of a vacant and neglected building in downtown Seattle.,1857,2750,,Downtown
1707,S94088,Small and Simple Projects Fund,1994,Emerson Kids and Community on the Move,Emerson Elementary PTSA,"The Emerson School PTA involved neighborhood residents, business owners and operators, students and parents in the development of a written action plan for undertaking joint community and school activities in 1995-96.",2350,2424,,Southeast
1709,S94090,Small and Simple Projects Fund,1994,Street Tree Planting Project,Nesbit Neighbors for Street Beauty,Thirteen street trees will be planted as a buffer between residences and the rear of several motels and public warehouse facilities on Nesbitt Avenue North.,1149,0,,Northwest
1700,S94081,Small and Simple Projects Fund,1994,Family Unity Night,Holly Park Community Council,"A weekly educational and family entertainment program was developed by the community council, parents and youth.  The program was designed as an alternative to drugs, gangs, and other inapproprate or illegal activities.  The program serves the Holly Park neighborhood.",4025,8383,,Greater Duwamish
1714,S94095,Small and Simple Projects Fund,1994,ID Business and Self-guided Tour,Wing Luke Asian Museum,"The Museum will create a computerized data-base of International District businesses, current and past, and of building histories.  The Museum will also produce a map and self-guided tour of the District.",5000,6090,,Downtown
1719,S94100,Small and Simple Projects Fund,1994,Queen Anne Revitalization Planning 1,Queen Anne Chamber of Commerce,Phase one of a two phase planning project for the Queen Anne business district.,5000,3565,,Magnolia/QA
1720,S94101,Small and Simple Projects Fund,1994,Miracle on Thorndyke,Magnolia Community Club,"A raised median, installed on Thorndyke Aveune West in 1991, was only partially landscaped.   With the planting of ground cover, made possible by this award, the landscaping was completed by the Community Club.",1804,2101,,Magnolia/QA
1701,S94082,Small and Simple Projects Fund,1994,Georgetown Needs Assessment and Planning,Georgetown Crime Prevention and Community Council,"Prepare a neighborhood needs assessment and plan based on public outreach efforts identifying concerns, impressions and current conditions of the community.",5000,4370,,Greater Duwamish
1675,S94056,Small and Simple Projects Fund,1994,Street Trees,4200 Block Association,Fifteen street trees were planted by neighbors to improve the appearance of the 4200 block of 2nd Avenue NW.,1188,1197,,Lake Union
1694,S94075,Small and Simple Projects Fund,1994,Gateway to Fremont - A Neon Installation,Fremont Chamber of Commerce,"Neon sketches of ""Rapunzel"" and ""How the Elephant Got Its Trunk"" were created and installed in the towers of the Fremont Bridge.",2603,2700,,Lake Union
1696,S94077,Small and Simple Projects Fund,1994,Ave Planning Group Project Report,University Chamber of Commerce,Preparation and printing of the University Avenue planning report.,5000,8810,,Northeast
1697,S94078,Small and Simple Projects Fund,1994,Safe Streets Planning Project,The Early Learning and Development Ctr,"A traffic calming plan, incorporating pedestrian friendly amenities, will be developed for the northeast section of the Greenwood neighbohrood.",5000,8980,,Northwest
1692,S94073,Small and Simple Projects Fund,1994,Rainer Beach Football Scoreboard Returns,Rainier Beach Sports Program,Purchase and install an electronic scoreboard for junior football league.  The scoreboard will be installed at the football field at Rainier Beach High School.,3700,4159,,Southeast
1699,S94080,Small and Simple Projects Fund,1994,57th Street Underpass Murals,Phinney Ridge Community Council,"A colorful mural, depicting wildlife found at the nearby Woodland Park Zoo,  was designed by neighborhood youth.  The design was then painted onto the walls of the 57th Street underpass by neighborhood children, youth and adults.   The mural replaced existing graffiti and discouraged more.",1000,3340,,Northwest
